"Data Structures","Algorithms","Operating Systems","Computer Networks","Database Management","Object Oriented Programming","Computer Architecture","Discrete Mathematics","Theory of Computation","Compiler Design","Artificial Intelligence","Machine Learning","Deep Learning","Computer Graphics","Software Engineering","Web Development","Mobile App Development","Cybersecurity","Cryptography","Cloud Computing","Distributed Systems","Parallel Computing","Natural Language Processing","Computer Vision","Robotics","Embedded Systems","Digital Logic Design","Microprocessors","Linear Algebra","Probability and Statistics","Numerical Methods","Information Theory","Data Mining","Big Data Analytics","Internet of Things","Blockchain Technology","Human Computer Interaction","Software Testing","DevOps","API Design and Development","Data Visualization","Network Security","Digital Signal Processing","Image Processing","Programming Languages","Functional Programming","System Programming","Game Development","Quantum Computing","Bioinformatics","Ethical Hacking","Formal Methods","Graph Theory","Advanced Algorithms","Computer Ethics"
75,26,53,74,77,72,47,64,52,87,84,71,65,66,72,68,79,48,64,67,54,64,76,90,33,73,70,77,70,56,91,76,52,70,65,74,69,73,85,77,51,81,62,46,65,68,77,81,62,73,39,63,53,42,65
52,70,80,71,74,61,44,58,65,56,69,75,86,67,63,76,51,54,60,56,54,39,80,64,81,49,73,62,62,45,66,64,63,75,91,57,59,46,71,76,86,57,58,64,66,64,73,75,45,68,56,54,67,66,67
72,54,60,65,71,68,73,51,50,42,73,49,69,63,90,65,70,61,78,60,58,43,79,71,57,68,72,67,72,76,76,49,77,71,62,53,72,86,63,80,61,68,47,62,68,59,63,61,47,68,76,55,66,92,69
53,57,65,72,66,68,66,45,60,55,64,80,63,62,76,74,61,79,64,79,72,48,40,52,65,57,52,90,45,55,57,73,87,100,83,59,82,60,87,80,72,42,67,70,52,67,78,82,61,60,82,79,53,52,74
66,50,74,53,66,69,93,58,49,77,84,80,63,75,94,81,66,67,74,80,73,77,69,60,60,70,77,50,63,61,84,57,57,90,82,68,79,60,65,77,72,50,57,66,48,61,51,84,37,68,62,35,49,55,63
64,73,70,86,84,87,93,64,68,69,59,57,53,66,80,79,63,51,72,73,59,53,65,67,59,61,45,56,68,55,68,61,73,78,74,56,86,65,82,68,79,74,76,88,64,51,29,86,70,55,52,34,77,48,73
43,71,73,79,70,74,32,45,68,68,55,67,54,67,91,70,57,78,71,66,61,63,51,77,86,69,64,68,58,67,64,54,57,68,83,61,72,83,62,81,81,94,68,67,61,63,51,100,57,55,68,88,47,84,68
78,45,60,79,67,65,56,73,65,56,68,84,46,78,85,75,64,86,34,74,54,73,69,83,53,48,69,49,34,61,43,65,60,84,94,72,76,80,85,78,79,56,56,59,49,67,53,84,52,58,78,64,90,74,80
79,61,78,59,54,82,29,59,13,54,58,87,53,90,77,65,81,65,53,62,79,50,79,66,67,73,79,70,54,57,47,74,67,66,79,82,65,76,61,71,76,66,72,78,58,49,74,56,70,75,65,35,55,61,71
69,57,66,51,73,78,57,48,55,67,67,71,54,72,70,74,83,62,46,63,67,60,76,86,53,47,70,60,50,79,56,40,51,63,62,73,71,78,68,78,88,81,51,55,59,69,71,79,60,66,59,64,47,56,84
70,52,63,79,81,75,74,66,57,61,86,92,68,79,68,69,65,68,65,73,63,79,74,76,76,84,46,64,51,44,62,58,42,98,68,65,77,81,56,55,79,53,85,67,58,74,55,71,42,69,66,60,62,63,70
67,70,62,83,73,89,58,42,51,81,66,79,63,90,67,71,64,61,56,78,73,78,57,73,62,38,67,73,35,72,56,54,63,75,76,79,74,58,88,74,86,63,82,48,68,53,81,69,57,82,68,88,52,39,77
83,58,66,44,83,86,72,44,81,56,83,60,49,77,74,91,62,49,74,90,59,45,83,93,74,66,69,63,56,83,77,59,68,77,72,40,71,73,61,68,61,53,92,50,52,67,52,69,75,51,71,74,74,47,72
75,54,85,73,71,75,62,60,77,80,81,39,71,69,65,80,73,43,58,89,60,32,63,79,69,51,49,37,55,61,51,47,63,67,71,46,85,67,67,65,74,61,79,73,67,52,73,87,21,67,62,59,51,45,84
65,51,75,72,70,64,86,81,66,47,97,47,87,56,67,77,67,76,64,85,76,79,57,44,89,71,82,77,53,47,68,71,62,90,100,58,82,71,52,72,78,70,50,83,58,100,84,77,66,47,61,73,68,69,71
65,60,93,63,83,85,59,59,49,55,98,78,83,69,82,100,70,86,64,65,51,56,83,77,57,73,73,45,56,39,62,53,81,71,87,87,54,49,82,90,71,60,76,58,58,75,85,83,58,80,65,59,54,76,84
54,76,50,100,69,69,84,51,86,54,92,73,51,71,70,56,69,72,72,69,62,42,87,69,60,57,55,75,49,49,67,50,84,62,70,65,84,80,85,99,70,43,61,83,72,34,60,100,62,72,58,50,41,50,77
79,56,74,77,89,89,66,37,52,68,73,84,62,75,77,85,59,75,48,75,68,59,63,85,83,56,41,76,39,71,69,76,59,89,88,75,55,62,77,78,78,46,21,70,67,62,48,75,36,72,75,44,57,81,88
67,48,64,88,76,89,59,43,44,37,75,61,98,75,75,88,100,63,75,76,68,72,59,75,74,35,60,78,52,57,45,73,74,78,74,72,74,86,65,71,77,67,74,86,76,65,85,77,54,49,55,45,81,96,84
73,61,88,79,90,69,71,82,100,61,81,37,65,86,84,77,77,44,66,83,52,67,80,69,54,69,55,79,56,50,66,71,64,73,65,57,80,82,83,75,73,61,45,69,67,48,71,41,57,72,55,59,68,71,76
79,63,74,68,69,67,56,63,42,28,80,95,78,88,86,80,59,60,62,53,53,73,75,54,69,77,68,65,59,47,59,69,63,57,89,36,79,57,62,99,82,59,80,48,70,54,65,69,57,75,49,72,44,36,77
44,62,32,90,65,74,61,34,81,56,75,72,67,65,78,71,81,50,65,70,69,59,74,80,88,56,74,88,67,64,88,44,82,73,82,26,74,78,63,65,67,79,67,70,68,67,73,57,40,37,85,75,56,72,72
75,37,79,82,57,72,65,68,55,46,66,64,78,78,65,76,64,83,70,68,60,77,41,52,61,81,58,57,62,63,94,62,86,75,72,67,66,56,63,90,76,81,46,87,56,49,70,65,48,45,77,59,59,41,75
83,74,64,73,66,57,100,41,87,78,54,66,71,72,67,64,76,84,70,69,65,81,42,67,72,60,76,73,43,65,54,76,91,67,90,52,91,74,87,84,68,64,57,63,49,72,83,79,64,64,71,35,70,41,77
50,71,81,88,68,68,91,61,55,70,72,63,74,75,74,79,82,63,63,83,100,80,83,67,77,69,69,57,65,72,78,48,62,63,63,60,66,72,50,89,74,64,60,74,47,62,75,72,49,59,88,62,41,86,70
55,19,57,76,87,63,57,59,65,25,48,61,64,63,55,83,74,71,58,56,45,76,86,74,70,75,62,52,63,58,69,68,54,84,80,93,82,77,70,73,81,92,66,60,80,54,21,90,54,60,63,27,59,79,83
67,85,65,51,61,88,56,58,21,57,93,67,65,65,62,71,86,80,61,72,55,80,64,53,79,80,56,69,78,73,65,70,73,80,85,53,83,64,56,67,57,52,56,76,61,65,90,69,71,76,51,74,91,63,68
56,63,68,73,46,76,68,47,34,28,75,63,79,76,74,70,86,47,60,69,64,73,61,44,66,48,51,61,54,47,83,73,69,80,72,66,86,64,76,76,66,77,69,89,61,45,57,91,53,79,86,54,57,29,72
73,57,66,67,57,55,39,79,40,76,77,38,69,81,75,91,60,57,49,60,75,51,60,70,82,66,89,60,47,71,50,66,86,72,59,64,94,83,93,75,69,60,56,84,48,68,55,85,37,90,89,72,30,62,74
48,58,45,71,69,94,50,51,60,45,54,87,78,72,79,63,66,67,74,75,55,83,70,51,50,67,72,57,55,50,45,60,58,46,73,68,83,94,67,59,69,43,65,55,93,61,62,74,67,69,62,60,69,51,70
71,73,96,56,73,78,91,68,68,41,73,100,58,56,61,77,73,75,44,87,59,40,60,48,66,77,76,72,57,78,51,68,79,69,67,93,86,65,61,82,74,51,55,79,95,83,58,76,63,52,82,63,58,37,72
95,27,55,67,66,82,76,92,75,59,57,78,74,68,73,80,70,53,50,77,34,77,100,66,79,72,48,51,66,49,68,46,71,74,71,57,74,89,63,65,71,61,41,76,94,55,77,45,38,51,57,42,54,61,80
77,71,51,79,72,69,66,61,43,67,96,88,93,76,75,77,65,63,41,51,70,64,100,77,73,71,72,67,72,70,79,61,64,89,61,82,77,71,80,69,67,72,47,99,86,67,51,74,55,61,65,64,47,54,73
85,56,71,70,66,53,64,59,61,100,72,66,56,61,62,80,79,60,51,71,80,85,55,77,81,70,58,71,56,69,61,52,66,98,77,75,94,79,68,82,72,54,75,74,32,56,80,90,66,61,51,59,61,55,71
72,55,61,86,47,70,40,52,40,47,79,70,65,80,63,76,89,69,43,64,100,38,64,94,82,64,67,85,44,63,51,75,65,72,82,72,75,64,76,78,89,81,65,71,41,70,37,80,54,72,59,22,56,33,75
60,62,71,67,69,60,74,57,57,57,63,65,81,60,70,75,62,74,42,67,62,85,64,46,94,83,59,61,65,60,64,48,73,68,77,64,72,74,70,81,74,65,30,68,58,58,58,70,50,59,67,82,37,65,89
61,53,72,39,76,79,61,21,62,68,55,87,76,60,93,82,61,92,70,63,67,77,71,93,49,86,60,70,62,46,74,74,74,56,77,89,79,99,57,66,63,58,66,54,67,76,76,60,58,55,66,29,51,66,53
60,64,73,72,67,82,39,55,51,40,73,78,68,70,69,89,74,83,72,48,25,75,68,73,55,77,72,58,53,57,82,56,71,80,42,66,78,94,92,88,83,46,55,52,63,63,71,72,60,61,77,31,29,31,84
60,48,48,65,57,75,71,43,45,73,75,72,64,52,71,79,94,66,90,59,83,73,60,42,84,63,74,82,27,62,78,62,72,62,67,79,81,84,69,67,92,72,61,54,51,79,46,79,54,70,59,61,69,75,82
30,65,57,100,88,69,85,57,80,62,68,47,46,70,96,81,99,46,63,89,59,60,71,78,63,65,62,45,59,66,64,59,61,70,81,59,65,74,60,90,97,70,49,65,50,43,54,61,61,62,67,80,52,65,68
61,26,56,74,76,66,60,58,81,52,61,75,60,88,61,73,84,54,42,49,66,67,71,55,89,81,47,62,61,65,83,59,56,69,60,70,81,94,91,84,89,65,74,62,77,55,51,83,65,87,67,81,50,57,95
41,64,63,62,82,92,34,37,60,69,85,61,56,75,79,70,68,69,100,56,88,38,54,42,87,52,75,41,38,83,80,78,69,79,74,76,58,74,69,76,86,74,54,81,47,41,46,64,55,63,64,28,64,66,83
57,37,53,74,53,92,58,82,36,57,66,59,72,81,53,77,70,86,63,76,82,77,51,53,75,64,67,82,53,65,80,66,56,68,77,83,75,81,78,80,78,70,58,73,59,55,66,72,50,69,49,77,93,58,82
67,47,76,72,53,59,76,58,74,57,42,63,69,63,85,75,67,64,60,70,57,60,81,81,75,64,64,77,60,83,52,70,81,67,70,60,90,73,84,76,71,72,53,50,61,82,47,81,68,45,92,52,87,48,94
64,61,64,79,49,63,66,69,20,58,64,67,37,49,67,73,72,65,49,71,76,53,73,51,59,69,62,49,61,73,68,45,76,86,78,67,73,90,76,80,69,83,86,63,72,53,44,70,45,66,87,50,55,56,80
60,87,42,65,97,71,58,66,42,78,73,60,82,94,64,68,67,79,59,70,96,70,87,74,69,61,68,63,58,89,51,61,77,59,75,75,81,64,61,58,76,59,81,54,70,63,99,69,35,62,59,32,68,59,70
72,62,67,85,80,66,70,37,44,51,72,63,69,78,76,74,68,64,54,67,67,65,46,75,80,68,75,61,64,73,79,75,77,76,69,52,65,70,66,66,74,67,52,55,75,78,75,83,40,69,71,64,69,68,84
73,87,49,67,65,57,54,49,100,62,65,66,49,56,67,70,53,68,69,62,66,75,70,78,53,78,65,71,73,84,62,52,70,62,67,60,72,72,81,61,66,81,56,72,66,50,100,75,94,76,72,49,69,72,83
74,65,74,62,83,78,66,40,54,36,47,41,74,70,81,95,83,57,55,83,64,51,70,94,85,75,62,67,70,75,51,65,86,69,84,85,92,76,85,90,82,78,89,40,53,80,53,86,47,56,51,74,52,68,92
80,83,82,49,69,72,61,51,56,45,70,56,65,62,72,95,100,69,42,51,62,64,69,69,34,92,81,59,33,70,73,52,58,72,74,87,69,97,88,60,64,84,70,76,89,63,66,70,65,62,65,34,65,97,70
63,40,79,70,82,52,50,59,83,35,64,56,66,66,82,69,91,100,45,62,61,58,59,49,50,76,76,61,82,83,63,47,55,94,60,55,80,72,75,70,86,73,44,52,69,54,81,59,83,69,49,56,41,46,86
69,53,62,71,80,70,63,34,77,100,72,85,73,82,85,88,78,65,75,84,74,61,42,74,83,40,76,89,54,75,71,58,57,75,85,77,62,56,68,66,81,89,76,63,81,87,51,62,34,55,93,45,89,53,80
56,40,53,73,68,72,50,67,71,49,70,72,71,69,73,74,68,46,42,60,59,58,58,62,73,71,66,62,51,69,54,72,77,79,63,49,78,58,77,86,90,68,54,82,81,98,70,72,80,53,51,69,55,79,74
64,60,61,70,90,75,77,71,74,82,71,36,85,67,71,88,82,51,46,66,64,78,78,65,63,49,70,69,43,58,96,44,60,83,67,57,76,78,70,67,83,59,46,72,80,78,68,73,43,56,70,81,55,49,85
59,46,33,50,61,61,63,31,60,73,74,58,85,83,61,63,82,70,43,85,54,77,58,81,80,57,56,75,59,75,82,40,72,87,52,93,80,74,76,59,70,62,64,67,75,36,74,94,64,70,100,56,92,53,78
50,48,78,60,57,82,67,59,53,75,75,68,92,58,63,65,77,83,51,81,59,58,61,64,79,56,63,53,62,76,74,76,66,69,69,57,80,59,61,53,84,88,71,54,100,95,56,72,62,60,61,33,48,34,70
59,53,49,74,69,79,77,84,51,47,59,55,32,49,73,91,95,58,80,58,75,81,58,79,73,60,97,72,70,71,63,80,67,81,67,57,73,51,78,76,73,47,58,52,68,68,50,56,64,52,76,35,55,37,81
65,26,68,68,70,78,83,32,54,70,62,83,75,67,66,77,58,77,73,58,76,67,56,66,77,83,55,78,65,56,67,24,87,60,79,80,84,71,76,76,80,82,71,69,74,73,58,67,63,56,68,62,72,67,79
45,65,44,52,80,79,53,100,61,47,69,69,73,65,88,87,60,63,85,69,49,51,49,72,100,67,79,67,49,73,60,50,74,65,54,52,69,68,42,69,90,76,62,62,57,67,65,72,66,55,49,39,74,70,91
55,46,68,67,93,74,79,49,36,51,77,62,61,67,67,69,66,60,73,70,78,73,72,51,79,61,53,78,32,59,73,28,81,72,83,75,79,74,68,76,83,79,72,66,57,63,36,92,48,74,64,61,53,45,82
48,45,54,69,53,71,67,38,63,59,76,71,54,76,70,78,59,46,63,84,81,36,36,71,64,56,84,52,52,70,58,42,71,77,86,62,77,73,65,74,75,68,58,70,82,41,61,63,43,55,80,64,46,66,73
59,42,69,68,58,72,63,90,62,37,85,65,71,59,87,67,68,76,62,78,59,61,73,63,63,54,64,63,60,59,82,59,63,97,60,70,60,59,73,78,63,53,84,68,67,68,86,82,54,65,79,37,75,43,65
93,74,69,53,68,76,43,91,66,72,64,75,68,55,69,88,73,53,62,86,66,53,79,63,75,65,72,74,66,51,83,42,73,82,77,61,72,75,86,80,82,61,60,46,65,56,45,71,53,75,76,57,53,64,82
32,69,79,75,71,79,82,52,63,87,77,63,72,74,65,74,69,57,66,97,53,68,74,78,71,62,75,60,44,59,70,64,58,64,73,79,87,84,81,78,80,74,61,65,60,73,63,63,75,52,51,68,38,70,82
68,65,61,53,73,81,71,34,74,65,75,97,74,67,76,75,84,52,75,52,84,65,72,65,90,58,64,62,81,68,51,86,69,83,62,89,84,97,68,85,90,41,56,67,67,72,40,76,89,64,90,85,66,40,77
34,50,45,54,58,78,47,75,55,74,74,63,91,61,61,88,79,69,65,54,57,83,53,75,66,86,66,80,52,63,53,57,78,68,57,57,82,72,68,78,75,54,85,72,92,49,100,83,54,62,88,57,59,25,76
82,47,67,86,52,70,48,67,80,51,75,70,77,62,100,69,58,78,61,84,84,60,55,91,92,39,90,54,59,79,64,59,63,65,79,82,62,79,69,93,91,51,76,75,69,60,86,86,56,75,58,50,81,45,67
66,57,70,72,81,83,53,79,70,45,61,80,47,52,86,66,63,100,42,68,74,54,41,87,68,93,65,75,57,75,63,56,70,81,68,38,77,87,65,66,92,62,43,67,52,60,44,82,36,86,49,60,91,88,80
70,66,63,75,81,81,82,42,88,48,68,90,72,66,79,71,74,92,84,68,71,69,71,63,60,82,65,75,60,71,68,90,59,64,70,74,74,93,72,72,81,72,84,92,59,70,50,64,61,83,68,62,71,78,68
85,69,80,50,80,67,56,64,75,54,57,68,13,62,80,86,63,89,49,55,74,56,81,69,51,34,58,39,59,66,53,70,69,77,79,78,62,83,67,59,92,66,44,44,64,58,78,82,17,33,72,68,69,54,88
53,67,59,49,100,79,88,63,26,49,82,67,48,90,79,60,78,82,56,29,65,62,66,54,69,74,81,41,60,77,58,46,44,76,90,68,69,57,73,89,93,55,66,73,61,73,64,73,78,57,76,47,74,60,77
89,82,49,81,81,78,77,72,63,51,65,75,71,74,78,72,95,35,53,64,59,43,66,72,61,61,71,28,76,47,57,81,60,80,76,73,62,69,62,79,74,75,70,79,85,44,71,87,33,43,79,87,72,96,87
75,71,33,70,78,82,84,42,64,47,75,73,58,74,74,68,67,60,56,100,49,43,45,95,53,64,58,64,68,74,64,31,74,56,72,58,81,75,81,69,82,73,73,62,76,57,61,88,53,57,71,38,62,74,79
63,74,76,57,82,83,62,43,69,57,60,70,52,71,80,83,73,77,54,64,91,76,79,69,68,76,50,76,97,57,40,63,72,69,87,90,62,90,80,63,97,87,58,75,68,59,59,64,67,70,58,61,56,51,69
85,58,80,57,71,82,56,13,62,80,99,68,48,74,59,93,67,35,55,95,76,74,75,62,64,65,80,50,65,43,77,39,65,69,75,54,76,81,72,60,72,29,50,76,91,50,62,50,47,73,66,39,64,54,53
73,87,50,72,77,82,68,67,28,81,70,66,78,68,71,78,81,76,56,55,36,80,84,49,49,83,80,61,60,34,76,66,77,70,62,80,82,79,71,82,78,53,60,87,67,73,69,63,23,45,59,70,50,65,87
84,55,66,92,95,67,63,57,73,46,73,70,66,64,77,95,58,44,53,74,56,69,61,54,82,81,76,77,74,65,60,59,74,82,88,51,68,65,54,65,67,61,50,49,60,35,60,86,63,59,53,48,44,44,96
75,84,74,65,74,83,59,70,48,67,70,76,69,61,74,76,77,59,60,70,68,60,36,63,62,55,63,60,55,35,55,73,69,58,58,55,73,68,85,78,90,44,67,57,71,70,64,58,75,60,79,67,55,56,86
54,80,53,55,59,80,54,47,77,62,88,65,60,64,60,73,66,77,78,77,97,54,68,60,65,55,64,56,49,93,67,52,69,54,58,96,73,62,72,67,76,51,23,70,63,43,72,63,61,65,69,43,45,47,89
64,42,50,75,74,80,76,64,49,75,88,64,59,62,76,86,63,75,78,71,61,73,67,68,75,81,87,53,57,64,57,73,91,96,78,76,87,79,59,76,73,54,69,72,64,49,66,67,80,52,63,48,75,51,66
80,70,77,52,64,86,27,92,62,59,75,64,90,75,81,90,73,74,68,53,43,68,67,60,66,60,63,61,54,60,70,61,60,78,75,73,80,68,62,73,73,47,65,41,59,67,78,68,58,74,82,26,55,63,76
71,76,47,53,57,72,55,36,63,66,71,65,59,65,68,79,72,92,66,63,56,67,67,73,48,72,90,49,21,51,63,82,92,74,73,66,83,54,66,89,75,96,46,65,83,72,39,73,42,63,74,50,86,65,82
66,41,81,71,76,83,78,52,47,39,76,62,62,61,55,81,60,55,61,78,67,67,97,77,65,51,100,79,49,54,89,70,70,100,60,64,57,74,80,89,93,69,57,85,70,68,79,92,73,79,88,56,85,75,73
81,37,46,68,69,66,65,52,75,63,66,70,55,82,57,70,87,85,63,64,80,69,79,53,54,67,49,53,42,37,74,31,72,75,73,66,61,62,96,73,73,72,65,67,87,59,70,80,88,62,80,35,83,53,96
69,60,38,48,52,59,68,66,59,68,46,67,47,72,83,76,80,48,69,66,65,77,35,71,83,51,65,76,47,52,54,48,87,81,64,80,81,73,71,53,72,49,85,69,67,68,65,72,44,59,65,62,72,47,81
49,73,42,64,71,92,69,40,56,53,60,67,81,84,85,94,66,58,55,67,81,47,48,71,54,67,69,61,35,62,61,84,73,95,61,83,85,74,27,72,76,55,63,45,78,49,64,67,59,56,50,73,46,44,77
68,58,55,59,74,83,91,91,32,60,83,76,80,65,94,63,77,71,68,59,57,53,64,69,59,74,81,79,57,92,67,49,71,73,62,80,72,76,77,82,81,63,65,68,60,53,48,66,55,69,75,63,39,66,79
51,90,47,56,51,78,58,58,56,53,75,88,81,65,54,84,57,27,41,63,65,54,83,44,52,63,59,69,80,64,90,66,69,71,53,66,61,72,77,89,79,52,65,51,69,59,65,73,63,58,72,62,50,48,80
75,64,69,70,65,70,63,86,84,64,77,68,58,58,85,81,96,62,68,88,28,50,66,56,80,56,58,61,56,74,55,50,82,63,69,88,86,73,80,62,75,67,64,53,76,77,62,72,53,39,62,37,50,65,76
74,14,58,57,64,78,71,87,51,42,55,45,55,65,77,79,63,74,76,58,55,49,73,52,57,53,75,94,61,75,59,65,49,78,62,74,69,88,80,62,62,50,47,73,76,76,86,74,33,68,73,76,79,40,72
81,59,45,49,76,80,100,61,74,36,72,72,58,54,76,83,81,62,52,78,54,50,61,99,73,54,75,73,45,63,70,89,79,54,61,64,78,70,82,70,87,31,80,62,53,21,65,80,48,81,76,35,19,21,74
58,84,57,68,58,68,77,50,49,56,47,62,74,53,83,77,69,65,78,72,53,76,48,63,50,72,61,78,45,57,30,52,75,72,57,85,88,73,61,63,97,64,58,56,48,63,71,75,71,74,56,46,37,58,75
84,21,68,73,89,64,70,61,47,72,68,100,65,69,90,84,70,52,86,63,52,93,66,78,74,62,50,64,63,63,60,50,97,81,60,59,78,78,65,77,71,87,56,71,64,88,59,81,88,59,63,31,75,50,67
57,53,60,94,84,79,40,77,49,53,82,60,93,85,87,75,68,56,35,72,66,80,71,61,99,66,49,55,53,50,68,65,72,74,76,64,65,64,94,77,76,62,33,82,57,78,76,100,62,68,92,56,76,26,81
65,93,57,60,67,82,64,59,38,36,79,70,67,90,60,93,96,62,71,78,53,73,67,68,70,79,95,77,100,70,66,49,88,97,72,82,64,70,78,75,63,50,31,50,35,70,54,78,100,50,81,38,68,67,64
80,56,66,88,71,69,33,45,67,73,65,67,50,66,76,63,42,42,53,53,48,47,74,55,89,77,69,37,72,55,77,68,63,61,71,74,79,71,74,80,68,62,65,64,65,78,36,65,49,28,86,68,53,59,76
78,59,86,71,92,75,54,55,80,73,77,76,76,58,62,95,62,63,89,69,78,58,74,85,87,54,70,52,68,84,55,75,60,64,66,57,69,70,61,62,79,67,71,40,81,65,48,58,68,75,67,86,62,28,65
70,68,50,41,71,69,70,67,48,42,61,91,52,69,84,77,74,78,59,65,57,67,73,52,62,70,65,75,47,37,76,63,68,62,71,70,62,89,66,70,71,66,38,75,64,51,89,67,37,87,77,55,54,60,87
81,60,68,78,61,82,77,61,22,35,100,71,70,72,64,89,71,66,73,78,47,77,87,63,48,73,90,57,43,57,76,80,74,83,69,48,60,67,79,66,81,80,75,84,69,83,43,67,49,89,56,55,63,72,74
77,90,70,60,89,62,73,29,45,46,87,84,71,64,76,58,71,62,57,69,62,76,43,79,78,72,85,88,66,56,64,40,66,70,85,53,79,76,80,83,81,51,61,63,77,51,40,67,58,75,39,63,59,80,78
77,58,64,53,83,79,56,55,49,64,78,66,48,99,93,72,64,86,70,65,78,50,52,78,79,65,66,73,59,58,46,57,89,58,68,66,74,71,91,57,79,41,57,51,63,71,70,68,55,100,72,85,51,52,82
80,39,86,66,65,77,70,56,70,43,45,77,56,61,76,80,80,74,69,67,72,84,64,62,84,70,57,60,76,69,73,67,79,61,87,77,86,84,51,68,81,81,77,79,75,68,57,69,49,71,75,51,68,61,67
59,67,61,54,75,79,63,33,45,46,100,64,49,50,72,77,72,71,56,72,72,51,61,52,74,81,78,80,48,81,64,66,88,71,75,74,67,72,64,75,60,61,63,50,67,65,48,82,61,63,85,55,68,52,81
74,62,47,48,88,54,67,80,49,54,65,61,54,62,90,76,64,62,50,71,67,44,64,71,43,56,67,64,75,69,55,38,70,81,75,59,63,59,66,55,98,50,75,82,69,55,90,73,64,86,41,81,75,65,90
78,60,75,60,85,61,80,54,84,44,66,68,53,61,59,60,76,76,80,90,76,66,61,42,64,73,76,55,49,43,84,73,81,62,62,66,78,59,73,77,65,58,62,74,63,75,79,69,93,70,60,65,54,63,70
90,57,83,73,90,85,45,78,65,43,77,73,59,86,69,71,67,48,57,68,93,70,65,62,66,42,62,75,56,55,66,66,66,63,64,72,94,58,67,62,74,61,88,78,67,75,59,62,31,87,61,36,52,57,80
80,78,78,94,82,64,49,81,54,69,59,62,73,77,52,65,63,78,78,65,52,68,70,82,94,68,51,78,70,59,49,56,94,74,98,61,87,97,83,78,68,79,70,62,69,73,53,75,70,71,76,63,52,63,88
81,67,72,49,76,72,78,56,81,58,80,75,58,71,89,67,78,59,64,90,52,44,56,77,69,79,89,85,65,65,51,77,79,68,83,82,70,67,80,69,85,64,74,69,68,80,70,58,51,64,62,57,48,84,80
52,41,61,75,73,75,59,54,64,64,76,89,61,57,75,65,88,74,84,79,72,71,65,52,72,69,71,55,73,72,52,77,58,52,76,60,79,85,60,90,86,86,52,100,54,66,70,72,41,66,69,76,66,44,77
75,91,43,57,69,71,35,78,48,53,66,61,55,54,73,85,79,57,64,82,68,60,87,46,67,64,68,70,57,61,76,55,57,58,66,87,77,75,62,73,94,77,89,70,58,58,50,91,53,68,66,94,59,44,75
52,45,63,80,88,90,67,47,28,63,67,58,54,65,69,80,74,58,24,69,50,45,52,64,76,78,67,89,46,78,63,71,78,64,81,64,85,66,79,60,61,74,46,49,62,57,90,59,32,62,67,46,71,47,93
56,60,87,60,74,63,43,73,84,39,77,71,68,79,88,77,66,71,74,91,86,73,54,77,53,64,72,52,48,54,35,80,67,78,75,82,55,83,78,61,82,100,40,77,77,49,90,78,53,66,73,77,69,52,71
58,92,47,72,72,75,44,73,35,62,88,62,60,75,94,69,72,54,64,68,60,78,66,80,83,65,62,75,63,64,33,56,90,85,67,57,69,82,73,80,82,59,84,47,73,32,54,81,55,69,54,69,73,44,95
85,69,53,62,63,69,61,68,74,67,66,54,88,93,71,85,70,82,62,78,64,69,69,58,78,60,64,66,71,64,84,31,69,60,57,68,60,62,66,49,70,64,48,53,67,70,91,68,72,59,78,49,51,100,83
83,51,57,43,76,65,86,38,56,86,90,58,88,69,75,58,42,88,88,81,39,72,50,58,83,72,87,86,77,54,58,69,72,50,77,79,86,57,75,76,67,65,65,38,61,50,37,73,75,54,74,67,51,54,92
56,65,76,40,78,84,70,59,63,41,77,85,69,65,72,78,49,86,47,82,69,43,56,86,67,63,53,72,61,28,71,65,69,66,76,84,80,64,69,91,66,55,67,63,87,43,31,74,77,65,67,60,100,44,71
100,48,66,80,65,72,100,77,17,39,62,69,60,75,66,69,53,71,97,84,64,62,59,56,64,69,71,66,79,48,62,81,73,78,80,72,88,89,77,67,69,51,57,69,72,81,73,87,27,81,55,79,60,89,69
84,59,56,56,83,66,69,49,42,46,79,48,73,58,67,83,70,53,34,81,52,86,77,79,81,61,86,73,29,61,60,73,74,90,78,84,88,68,72,73,68,60,52,76,75,71,52,70,81,47,55,75,51,66,87
72,48,51,86,53,80,55,49,29,35,67,63,56,71,68,70,58,64,56,82,77,56,47,69,95,56,74,49,70,46,56,59,30,72,88,71,88,74,56,70,82,66,61,88,66,67,38,85,38,93,73,66,61,31,76
61,69,65,56,82,81,63,70,74,55,78,100,86,58,100,94,68,53,59,62,66,74,58,54,98,69,67,86,67,65,59,52,63,53,73,78,88,84,90,63,76,64,62,67,56,64,52,93,68,46,57,48,64,74,73
92,77,53,74,53,78,68,64,94,57,66,64,58,65,84,84,83,65,48,75,76,38,43,71,67,68,71,80,58,59,67,67,64,80,81,71,84,68,75,88,74,52,73,80,73,46,44,68,41,71,49,62,68,59,74
65,76,80,57,67,65,77,50,85,51,51,100,84,71,82,85,72,60,66,65,79,76,84,93,59,83,53,51,78,50,49,62,73,58,61,78,84,74,51,73,59,67,64,79,60,65,66,79,77,71,75,52,70,50,60
64,51,68,52,66,74,53,73,45,73,69,54,61,51,77,86,70,60,61,53,42,63,51,71,54,42,81,76,73,36,76,50,55,83,88,70,69,56,59,39,78,60,32,86,91,58,72,72,45,80,71,33,49,80,92
